address,latitude,longitude,floorSize,price,url
"1906 Berkeley Ave, Los Angeles, CA 90026",34.082474,-118.25833,"1,192","$899,000",https://www.zillow.com/homedetails/1906-Berkeley-Ave-Los-Angeles-CA-90026/20741934_zpid/
"6321 Simpson Ave, North Hollywood, CA 91606",34.18543,-118.389206,"1,609","$975,000",https://www.zillow.com/homedetails/6321-Simpson-Ave-North-Hollywood-CA-91606/20009974_zpid/
"12351 High Glen Way, Porter Ranch, CA 91326",34.29797,-118.56048,"1,939","$889,800",https://www.zillow.com/homedetails/12351-High-Glen-Way-Porter-Ranch-CA-91326/20155990_zpid/
"10541 Hayvenhurst Ave, Granada Hills, CA 91344",34.262356,-118.49389,"2,651","$875,000",https://www.zillow.com/homedetails/10541-Hayvenhurst-Ave-Granada-Hills-CA-91344/20148441_zpid/
"1223 W Crestwood Ave, San Pedro, CA 90732",33.749138,-118.30345,"1,426","$937,000",https://www.zillow.com/homedetails/1223-W-Crestwood-Ave-San-Pedro-CA-90732/21304765_zpid/
"8117 Sunny Brae Ave, Winnetka, CA 91306",34.217373,-118.580956,"1,841","$954,300",https://www.zillow.com/homedetails/8117-Sunny-Brae-Ave-Winnetka-CA-91306/2069500857_zpid/
"10878 Bloomfield St Apt 201, Toluca Lake, CA 91602",34.148964,-118.36796,"1,490","$758,800",https://www.zillow.com/homedetails/10878-Bloomfield-St-APT-201-Toluca-Lake-CA-91602/89668529_zpid/
"17123 Roscoe Blvd Unit 5, Northridge, CA 91325",34.22216,-118.50529,"1,493","$510,200",https://www.zillow.com/homedetails/17123-Roscoe-Blvd-UNIT-5-Northridge-CA-91325/20152150_zpid/
"5540 Owensmouth Ave Apt 312, Woodland Hills, CA 91367",34.171776,-118.600655,"1,089","$530,900",https://www.zillow.com/homedetails/5540-Owensmouth-Ave-APT-312-Woodland-Hills-CA-91367/68992600_zpid/
"1301 Collingwood Pl, Los Angeles, CA 90069",34.0944,-118.38379,"15,642","$54,950,000",https://www.zillow.com/homedetails/1301-Collingwood-Pl-Los-Angeles-CA-90069/20799160_zpid/
"7610 Brighton Ave, Los Angeles, CA 90047",33.970566,-118.30107,"1,606","$599,000",https://www.zillow.com/homedetails/7610-Brighton-Ave-Los-Angeles-CA-90047/20938373_zpid/
"4546 White Oak Ave, Encino, CA 91316",34.15358,-118.51469,"8,689","$8,995,000",https://www.zillow.com/homedetails/4546-White-Oak-Ave-Encino-CA-91316/19994050_zpid/
"1727 S Patton Ave, San Pedro, CA 90731",33.728146,-118.30592,"3,052","$1,499,000",https://www.zillow.com/homedetails/1727-S-Patton-Ave-San-Pedro-CA-90731/21310815_zpid/
"4565 Encino Ave, Encino, CA 91316",34.152878,-118.51448,"12,300","$13,795,000",https://www.zillow.com/homedetails/4565-Encino-Ave-Encino-CA-91316/19994023_zpid/
"8542 Hollywood Blvd, Los Angeles, CA 90069",34.097996,-118.37506,"13,000","$33,333,333",https://www.zillow.com/homedetails/8542-Hollywood-Blvd-Los-Angeles-CA-90069/20797387_zpid/
"2571 Wallingford Dr, Beverly Hills, CA 90210",34.118523,-118.43405,"38,000","$85,000,000",https://www.zillow.com/homedetails/2571-Wallingford-Dr-Beverly-Hills-CA-90210/20532066_zpid/
"271 S Mapleton Dr, Los Angeles, CA 90024",34.07823,-118.43266,"31,450","$64,950,000",https://www.zillow.com/homedetails/271-S-Mapleton-Dr-Los-Angeles-CA-90024/20524388_zpid/
"10500 Califa St, North Hollywood, CA 91601",34.177654,-118.36069,"1,116","$799,000",https://www.zillow.com/homedetails/10500-Califa-St-North-Hollywood-CA-91601/20040758_zpid/
